tweet_id,username,name,profile_picture,replies,retweets,likes,is_retweet,retweet_link,posted_time,content,hashtags,mentions,images,videos,tweet_url,link
NovaFluffyHusky,NovaFluffyHusky,,https://twitter.com/NovaFluffyHusky/photo,25,122,1706,True,https://twitter.com/NovaFluffyHusky,2021-11-26T16:29:23+00:00,"Waitin' for you this #FursuitFriday 

Where are you? 

: 
@tallfuzzball",['FursuitFriday'],['tallfuzzball'],['https://pbs.twimg.com/media/FFIh113VkAI2Pa3?format=jpg&name=small'],[],https://twitter.com/NovaFluffyHusky/status/NovaFluffyHusky,
1461544442519867392,fwuffyboi,Ash / 'fwuffyboi',https://twitter.com/fwuffyboi/photo,0,0,1,False,,2021-11-19T03:58:43+00:00,#NewProfilePic,['NewProfilePic'],[],['https://pbs.twimg.com/media/FEhy7MaWUAYtUzY?format=jpg&name=small'],[],https://twitter.com/fwuffyboi/status/1461544442519867392,
